label,text,llm_check,suspect,style,group,accept
yes,হ্যাঁ ভাই কনফার্ম করে দেন,yes,,plain agreement,0,
yes,জ্বী আপু অর্ডারটা কনফার্ম করেন,yes,,plain agreement,0,
yes,হুম ঠিক আছে করে দেন,yes,,plain agreement,0,
yes,জ্বী হ্যাঁ সব ঠিক আছে কনফার্ম করেন,yes,,plain agreement,0,
yes,হ্যাঁ আমার অর্ডারটা কনফার্ম করে ফেলেন,yes,,plain agreement,0,
yes,আচ্ছা ঠিক আছে করে দেন,yes,,plain agreement,0,
yes,জ্বী ভাই কনফার্ম করে দিন,yes,,plain agreement,0,
yes,হ্যাঁ সব ঠিক আছে ভাই,yes,,plain agreement,0,
yes,জ্বী আপু কনফার্ম করেন,yes,,plain agreement,0,
yes,হ্যাঁ কনফার্ম করে দেন প্লিজ,yes,,plain agreement,0,
yes,ঠিক আছে ভাই অর্ডারটা কনফার্ম করেন,yes,,plain agreement,0,
yes,জ্বী আমার অর্ডারটা কনফার্ম করে দিন,yes,,plain agreement,0,
yes,না না ঠিক আছে কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না সমস্যা নাই অর্ডারটা দিয়ে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না ঠিকই আছে ভাইয়া অর্ডারটা কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না আর কিছু লাগবে না কনফার্ম করে ফেলেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না ঠিক আছে আপু এটা কনফার্ম করে দিন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না সব ঠিক আছে অর্ডারটা কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না আর লাগবে না ভাই কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না ঠিক আছে ভাইয়া অর্ডারটা দিয়ে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না সব ঠিক আছে কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না ঠিক আছে এইটাই কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না সমস্যা নেই ভাইয়া কনফার্ম করে ফেলেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,না না ঠিক আছে আপু অর্ডারটা কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),1,
yes,"জি, কনফার্ম করে দেন, তবে একটু দ্রুত ডেলিভারি দিয়েন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"হ্যাঁ ভাই, অর্ডারটা কনফার্ম করেন, পারলে কালকের মধ্যেই পাঠাবেন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"জি আপু, কনফার্ম করে দেন আর ডেলিভারিটা একটু সকালের দিকে দিবেন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"আচ্ছা কনফার্ম করে ফেলেন, কিন্তু প্যাকেটটা যেন সাবধানে আসে",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"হুম, কনফার্ম করে দেন ভাই, তবে ডেলিভারিটা একটু তাড়াতাড়ি করার চেষ্টা করবেন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"জি, অর্ডারটা কনফার্ম করে দেন আর পাঠানোর সময় আমাকে একটু জানাবেন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"হ্যাঁ করে দেন, তবে জিনিসটা যেন একটু ভালো করে চেক করে পাঠান",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"ঠিক আছে কনফার্ম করেন, তবে ডেলিভারি ম্যানকে বলবেন যেন কল দেয়",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"জি ভাই, কনফার্ম করে দেন তো, একটু তাড়াতাড়ি পেলে ভালো হতো",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"হ্যাঁ কনফার্ম করে দেন, ডেলিভারিটা যেন সঠিক ঠিকানায় পৌঁছায়",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"আচ্ছা, অর্ডার কনফার্ম করে দেন আর ডেলিভারিটা একটু দ্রুত দিবেন প্লিজ",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"জি আপু কনফার্ম করে দেন, কিন্তু পাঠানোর আগে আমাকে একটা কল দিবেন",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",2,
yes,"উম, হ্যাঁ মানে... ঠিক আছে কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"আসলে... জি, অর্ডারটা কনফার্ম করে দিয়েন ভাই।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"হুম, মানে, ঠিক আছে আপু, কনফার্ম করে ফেলেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"ইয়ে, হ্যাঁ হ্যাঁ, অর্ডারটা কনফার্ম করে দেন তো।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"মানে... জি, আমার মনে হয় ঠিক আছে, কনফার্ম করেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"হুম, আচ্ছা ঠিক আছে ভাই, কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"উম, মানে সব তো ঠিকই আছে, কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"আসলে... জি, ঠিক আছে, অর্ডারটা কনফার্ম করেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"ইয়ে, মানে ঠিক আছে, কনফার্ম করে দেন সমস্যা নাই।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"হুম, জি আপু, কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"উম, ঠিক আছে ভাইয়া, কনফার্ম করে দিতে পারেন।",yes,,"hesitant but finally agrees, with fillers",3,
yes,"আসলে, মানে সব ঠিক আছে, কনফার্ম করে ফেলেন।",yes,,"hesitant but finally agrees, with fillers",3,
no,"না ভাই, এখন আর লাগবে না।",no,,plain refusal,4,
no,"না আপু, আমার অর্ডারটা ক্যান্সেল করে দিন।",no,,plain refusal,4,
no,"থাক, এখন আর কনফার্ম করার দরকার নেই।",no,,plain refusal,4,
no,"না না, এটা ক্যান্সেল করে দেন।",no,,plain refusal,4,
no,"আসলে এখন আর নেওয়ার ইচ্ছা নেই, বাদ দেন।",no,,plain refusal,4,
no,"জি না, আমার অর্ডারটা ক্যান্সেল করে দিন প্লিজ।",no,,plain refusal,4,
no,"উম, না থাক, আমার অর্ডারটা ক্যান্সেল করে দিন।",no,,plain refusal,4,
no,"না ভাই, এখন আর কনফার্ম করবেন না।",no,,plain refusal,4,
no,"না, আমার আর অর্ডারটা লাগবে না।",no,,plain refusal,4,
no,"মানে এখন আর দরকার নেই, ক্যান্সেল করে দিন।",no,,plain refusal,4,
no,"না আপু, অর্ডারটা ক্যান্সেল করে দিয়েন।",no,,plain refusal,4,
