row_id,text,dataset_intent,llm_intent,llm_alt,script
validation-124,এই বিষয়টা উপরে জানান ধন্যবাদ,agent_request,complaint,agent_request,bn
train-2295,delivered dekhacche kintu painai,order_status,shipping_delivery,order_status,bl
train-605,tin din hoye gelo ekhono pai নাই,order_status,shipping_delivery,order_status,mx
validation-397,hey failed thanks,payment_issue,thanks,,en
train-4588,Headphone ache ki,product_search,product_availability,,bl
train-219,whatsh new,product_search,discount_offer,,en
train-226,কবে পাবো একটু,order_status,shipping_delivery,,bn
train-251,ভাই স্যার আছেন,greeting,agent_request,,bn
train-254,আপা আছেন কি?,greeting,agent_request,,bn
train-275,assalamu alaikum vai ar ki ache,product_search,greeting,product_search,bl
train-276,laptop ache ki .,product_search,product_availability,,bl
train-167,ভাই কি দয়া করে,out_of_scope,greeting,agent_request,bn
train-169,why is it takng so long,complaint,shipping_delivery,complaint,en
train-183,code boshale kaj kure na keno,discount_offer,payment_issue,discount_offer,bl
train-187,শুনেন শীতের জন্য ল্যাপটপ আছে,product_search,product_availability,,bn
train-189,coupon kaj korche না,discount_offer,payment_issue,discount_offer,mx
train-192,ভাই সাহেব আছেন,greeting,agent_request,,bn
train-196,koto টাকা ogrim দিতে hobe,shipping_delivery,price_inquiry,payment_issue,mx
train-27,still there,product_availability,greeting,,en
train-33,cash on delivery ache কি,shipping_delivery,payment_issue,shipping_delivery,mx
train-36,charge koto,shipping_delivery,price_inquiry,,bl
train-39,What is new in your store,product_search,discount_offer,product_search,en
train-294,tin din hoye gelo ekhno pai nai,order_status,shipping_delivery,order_status,bl
train-303,আচ্ছা তিন দিন হয়ে গেল এখনো পেলাম না,order_status,shipping_delivery,order_status,bn
train-321,Not needed,order_cancel,out_of_scope,,en
train-103,tin din hoye gelo ekhono pai nai??,order_status,shipping_delivery,order_status,bl
train-57,দেখান কিছু রিপ্লাই দিবেন প্লিজ,product_search,agent_request,product_search,bn
train-65,can i pay when i receive it thanks in advance,shipping_delivery,payment_issue,thanks,en
train-136,একটু খবর কি,order_status,greeting,,bn
train-147,are you a robot,out_of_scope,agent_request,,en
train-150,ok do you have punjabi,product_search,product_availability,product_search,en
train-152,accha aro ektu kom rakha jay na apu,discount_offer,price_inquiry,,bl
train-323,kal abar ashbo,goodbye,greeting,,bl
train-326,কবে pabo,order_status,shipping_delivery,order_status,mx
train-361,"অনেকদিন অপেক্ষা করছি, কুপন কাজ করছে না",discount_offer,complaint,discount_offer,bn
train-417,ache,product_availability,out_of_scope,,bl
train-418,Whats new,product_search,discount_offer,,en
train-420,ভাই ভাই সাহেব আছেন প্লিজ,greeting,agent_request,,bn
train-428,শাড়ি আছে কি,product_search,product_availability,,bn
train-447,good morning browse your power bank collection,product_search,greeting,product_search,en
train-448,what else??,product_search,out_of_scope,,en
train-454,onnokichu,product_search,out_of_scope,,bl
train-464,panjabi ache ki??,product_search,product_availability,,bl
train-480,accha hi ache keu vai,greeting,agent_request,greeting,bl
train-383,ক্যাশ অন ডেলিভারি আছে কি,shipping_delivery,product_availability,,bn
train-385,Coupon kaj korche na,discount_offer,payment_issue,discount_offer,bl
train-392,এখন অর্ডার করলে পাবো,product_availability,shipping_delivery,order_status,bn
train-483,"i have been waiting a while, done",goodbye,complaint,,en
train-493,anything elshe,product_search,out_of_scope,,en
train-499,সালাম লাগবে না,order_cancel,greeting,,bn
train-502,হ্যালো ভাই কথা বলা যাবে .,greeting,agent_request,greeting,bn
train-536,hey can we talk??,greeting,agent_request,,en
train-543,vai keu achen,greeting,agent_request,,bl
train-547,sale er somoy dam koto hobe,discount_offer,price_inquiry,discount_offer,bl
train-550,শুনেন কোড বসালে কাজ করে না কেন,discount_offer,payment_issue,discount_offer,bn
train-559,pathabn na ar,order_cancel,shipping_delivery,order_cancel,bl
train-604,lal culor e ache,product_availability,product_search,,bl
train-606,আচ্ছা ফেইল,payment_issue,complaint,payment_issue,bn
train-612,if i order now will i get it,product_availability,shipping_delivery,product_availability,en
train-630,Kalker order aj pabo to,order_status,shipping_delivery,order_status,bl
